year,type,value
95項目別,總計,29356
97項目別,總計,27831
101項目別,總計,27425
103項目別,總計,28925
105項目別,總計,29427
95項目別,國中及以下,24299
97項目別,國中及以下,21357
101項目別,國中及以下,22969
103項目別,國中及以下,24139
105項目別,國中及以下,23399
95項目別,高中(職),26188
97項目別,高中(職),23804
101項目別,高中(職),22737
103項目別,高中(職),24579
105項目別,高中(職),24166
95項目別,專科,28514
97項目別,專科,27556
101項目別,專科,27098
103項目別,專科,27431
105項目別,專科,28185
95項目別,大學,31652
97項目別,大學,30336
101項目別,大學,28710
103項目別,大學,29911
105項目別,大學,30292
95項目別,碩士及以上,43078
97項目別,碩士及以上,40505
101項目別,碩士及以上,40668
103項目別,碩士及以上,41100
105項目別,碩士及以上,40681
